"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes","symbols"
"8802","180521_at",-0.231389458538745,6.33105071227038,-2.71194557794865,0.0214794846384146,0.0697135762364266,-4.6825031091113,"Cel.34447","arrd-22"
"8830","180549_at",0.0210645722529454,4.17497922760569,0.206918998898758,0.84014020287212,0.916851827608611,-7.69221141088377,"Cel.1385","ZC317.2"
"8938","180657_at",0.0692667892874788,4.96798922447371,0.706275175398284,0.495812341484936,0.692881669308009,-7.44879845649506,"Cel.25715","str-250"
"8992","180711_at",-0.106283486304645,4.22301736849614,-1.35809059610611,0.203677004038013,0.38956735280751,-6.78681280468221,"Cel.26234","D1014.2"
"9005","180724_at",-0.156940182416479,6.22078764901845,-1.47364042340379,0.170718205333451,0.343547042219098,-6.63704424132019,"Cel.19268","C03C11.1"
"9006","180725_at",-0.0470528751600936,4.37057727458092,-0.541477736259958,0.599790023108144,0.76902693374259,-7.5572482525208,"Cel.390","T08A9.6"
"9041","180760_at",-0.246911550993008,5.91092566409677,-1.87907395416232,0.0890420934610159,0.212373747054131,-6.0546240457135,"Cel.11079","EGAP4.1"
"9044","180763_at",0.00599419391686773,4.07757435087791,0.0757891433531385,0.941050880721346,0.96954809546086,-7.7124740834959,"Cel.1390","ZC266.1"
"9055","180774_at",0.0228759187876104,6.45762338260098,0.287686674618704,0.779339556790332,0.885435245173308,-7.67045837632659,"Cel.26969","F54B11.8"
"9060","180779_s_at",-0.254100729807303,4.9651702736199,-1.92846549111777,0.0820344512371967,0.199573060133503,-5.97862974774163,"Cel.11954","zip-7"
"9080","180799_at",-0.0721270935247338,4.86821980157598,-0.952445395703578,0.362867227550132,0.573074900413356,-7.23949199271165,"Cel.13237","C55C3.1"
"9081","180800_at",0.320543434579522,8.94663132036245,4.10175224324763,0.00204618340457631,0.0109366641928984,-2.27524282806767,"Cel.22971","gob-1"
"9106","180825_at",-0.16471347073137,6.15630261879198,-1.91879473190391,0.083364771415997,0.201940749033464,-5.9935825571948,"Cel.543","Y26E6A.2"
"9152","180871_at",-0.572441812499049,6.23416528850014,-6.4566447635156,6.61505294635444e-05,0.000876775471067775,1.35457451725879,"Cel.15677","clhm-1"
"9157","180876_at",0.0888901816519034,4.2384935345678,1.06307814750166,0.312235243605642,0.51962650875893,-7.12842032893801,"Cel.27396","srxa-8"
"9162","180881_at",-0.0333567031922222,4.27614571924589,-0.308329199047227,0.764028657053016,0.877068768878405,-7.66377588454454,"Cel.379","T08G2.2"
"9203","180922_at",0.0126306757521757,6.54079590129924,0.135122775299965,0.895140729847675,0.947000795511252,-7.70562581690088,"Cel.20166","ets-9"
"9219","180938_at",-0.107039031329923,5.24203283622739,-1.26387587946144,0.234358256232141,0.429305768541186,-6.90260599612212,"Cel.2895","R04B5.11"
"9256","180975_at",0.142770760148007,8.15933798451074,1.77850937382511,0.105051261515634,0.240394942023993,-6.20632131786706,"Cel.29948","Y79H2A.3"
"9316","181035_at",-0.101020748449148,4.41912655476859,-1.06326506995048,0.31215444518473,0.519530257636054,-7.12822430649796,"Cel.26514","srsx-2"
"9322","181041_at",0.0622792315578584,4.89152158163947,0.724821254116017,0.48483568071942,0.684603836751974,-7.4349525408461,"Cel.11022","F09F9.3"
"9326","181045_at",-0.245983307000161,6.47454015240323,-2.07706093105376,0.0639386277295351,0.164827561562844,-5.7447171343922,"Cel.23117","unc-44"
"9359","181078_at",-0.204871835593304,4.4259725880201,-2.28793670673302,0.0446550834201406,0.124577221008715,-5.40125714813307,"Cel.27204","K04F1.6"
"9402","181121_at",-1.14115133859109,6.7782606283855,-11.2223077285109,4.53364951939322e-07,1.93535510143909e-05,6.67325437651629,"Cel.26105","C46F2.1"
"9445","181164_at",-0.0124158945424595,7.37671193427311,-0.160298526583776,0.875772023548389,0.936671174850255,-7.70155971266061,"Cel.4561","C37H5.3"
"9493","181212_at",0.159720765136756,9.36139445261131,1.91578464718995,0.0837829259886262,0.202650064196351,-5.99822953240486,"Cel.16827","unc-57"
"9498","181217_at",0.360261110064975,8.78208398191806,3.80977545310295,0.00330258261007749,0.0157539387630199,-2.77350283918518,"Cel.7372","C31H1.8"
"9517","181236_at",0.135400512029727,4.95777684953902,1.27563773731133,0.230331965678718,0.424525293317492,-6.88847650339739,"Cel.14425","bath-47"
"9533","181252_at",0.250935100195136,8.98508821180492,2.87722734729708,0.0161331719985678,0.0554394010430736,-4.39615812629336,"Cel.32","Y76A2B.4"
"9563","181282_at",-0.0640713904227388,4.63289736820668,-0.742777825927242,0.474353687530751,0.676719856841353,-7.42123867834914,"Cel.19800","W03G11.2"
"9571","181290_at",-0.258542622454147,5.44715152984189,-2.78478037106775,0.0189334768550252,0.0630081789140246,-4.5565946182954,"Cel.3930","F22F7.2"
"9588","181307_at",-0.438431140627666,7.63483516506605,-4.44222687510818,0.00118729967921124,0.00721338755159888,-1.70540576616727,"Cel.10326","ceeh-1"
"9590","181309_s_at",0.261095207535929,10.0292474428163,2.38787738871101,0.0376110003138679,0.108890119818756,-5.23466743724098,"Cel.35845","F41E6.9"
"9609","181328_at",-1.00611202595764,6.11600051168488,-11.3897015535808,3.93766500685635e-07,1.71656398420279e-05,6.82304607310402,"Cel.36649","K02E11.4"
"9630","181349_at",-0.00263173616431889,4.92272166024261,-0.0285960084010401,0.97773785731213,0.988308940789302,-7.71517224133474,"Cel.36666","F40G12.9"
"9637","181356_at",-0.130600857646044,4.37662690208276,-1.75967922387638,0.108327161419219,0.246123923188375,-6.2342453824469,"Cel.14480","T02H6.7"
"9669","181388_at",-0.0199169593108381,4.38987438990885,-0.192871145021869,0.850841220409138,0.923368932098463,-7.69527641077098,"Cel.4484","srx-18"
"9676","181395_at",-0.117488932873934,4.58808304474527,-1.39160522200135,0.193604953480995,0.375992452575752,-6.74422348455729,"Cel.26645","F29C12.6"
