ID,symbols,logFC,P.Value
LOC_Os01g55100,LOC_Os01g55100,-0.804338,0.00619541
LOC_Os01g55240,LOC_Os01g55240,-1.02588,0.00355611
LOC_Os01g55500,LOC_Os01g55500,-0.888228,0.00355611
LOC_Os01g55510,LOC_Os01g55510,-1.96033,0.0263157
LOC_Os01g55700,LOC_Os01g55700,-0.667746,0.0495307
LOC_Os01g55730,LOC_Os01g55730,-0.861571,0.00701559
LOC_Os01g56460,LOC_Os01g56460,-0.711567,0.0421388
LOC_Os01g56870,LOC_Os01g56870,-1.80795,0.00144447
LOC_Os01g57082,LOC_Os01g57082,-2.71056,0.00355611
LOC_Os01g57910,LOC_Os01g57910,-0.943315,0.0128631
LOC_Os01g58048,LOC_Os01g58048,0.889459,0.0188543
LOC_Os01g58080,LOC_Os01g58080,-0.731717,0.00781053
LOC_Os01g58280,LOC_Os01g58280,1.10526,0.0142094
LOC_Os01g58420,LOC_Os01g58420,-1.68781,0.00144447
LOC_Os01g58750,LOC_Os01g58750,-0.694252,0.0171042
LOC_Os01g59060,LOC_Os01g59060,-0.849693,0.00535638
LOC_Os01g59730,LOC_Os01g59730,-1.96791,0.00144447
LOC_Os01g59990,LOC_Os01g59990,-0.6708,0.0115122
LOC_Os01g60260,LOC_Os01g60260,-1.01205,0.00144447
LOC_Os01g60770,LOC_Os01g60770,2.28731,0.00860411
LOC_Os01g60790,LOC_Os01g60790,-0.656959,0.01995
LOC_Os01g61010,LOC_Os01g61010,1.14828,0.0310612
LOC_Os01g61620,LOC_Os01g61620,-0.974498,0.00144447
LOC_Os01g61830,LOC_Os01g61830,-0.655117,0.0194283
LOC_Os01g61990,LOC_Os01g61990,-0.800884,0.0278949
LOC_Os01g62200,LOC_Os01g62200,-1.11135,0.00355611
LOC_Os01g62210,LOC_Os01g62210,-0.962171,0.00144447
LOC_Os01g62230,LOC_Os01g62230,-0.646763,0.0176481
LOC_Os01g62350,LOC_Os01g62350,-1.1189,0.00144447
LOC_Os01g62584,LOC_Os01g62584,-0.976684,0.0148111
LOC_Os01g62610,LOC_Os01g62610,-1.49799,0.00144447
LOC_Os01g62920,LOC_Os01g62920,0.744237,0.0128631
LOC_Os01g63210,LOC_Os01g63210,-2.17367,0.00447556
LOC_Os01g63480,LOC_Os01g63480,-1.0955,0.00936537
LOC_Os01g63500,LOC_Os01g63500,1.01645,0.0451997
LOC_Os01g63710,LOC_Os01g63710,-0.868371,0.00355611
LOC_Os01g64020,LOC_Os01g64020,-2.03572,0.00447556
LOC_Os01g64090,LOC_Os01g64090,-0.864137,0.00144447
LOC_Os01g64170,LOC_Os01g64170,1.63852,0.0115122
LOC_Os01g64310,LOC_Os01g64310,-1.35087,0.0499535
LOC_Os01g64640,LOC_Os01g64640,-1.18456,0.00144447
LOC_Os01g64730,LOC_Os01g64730,0.655493,0.01995
LOC_Os01g64860,LOC_Os01g64860,1.80783,0.0025789
LOC_Os01g65100,LOC_Os01g65100,-0.971818,0.0182433
LOC_Os01g65260,LOC_Os01g65260,1.162,0.0160083
LOC_Os01g65420,LOC_Os01g65420,-1.54343,0.00936537
LOC_Os01g65460,LOC_Os01g65460,-0.631694,0.0171042
LOC_Os01g65920,LOC_Os01g65920,0.749996,0.0215346
LOC_Os01g66010,LOC_Os01g66010,-2.2015,0.00144447
LOC_Os01g66030,LOC_Os01g66030,2.60923,0.00144447
LOC_Os01g66120,LOC_Os01g66120,0.799612,0.0435347
LOC_Os01g66200,LOC_Os01g66200,0.648548,0.0296755
LOC_Os01g66490,LOC_Os01g66490,1.38319,0.00144447
LOC_Os01g66500,LOC_Os01g66500,-0.644907,0.0236047
LOC_Os01g67134,LOC_Os01g67134,-0.599541,0.0314313
LOC_Os01g67390,LOC_Os01g67390,-1.05347,0.0204178
LOC_Os01g67500,LOC_Os01g67500,0.613346,0.0371932
LOC_Os01g68020,LOC_Os01g68020,0.822098,0.0345976
LOC_Os01g68310,LOC_Os01g68310,-0.72241,0.0176481
LOC_Os01g68480,LOC_Os01g68480,-0.770807,0.0153591
LOC_Os01g68589,LOC_Os01g68589,-0.8468,0.0359847
LOC_Os01g68650,LOC_Os01g68650,1.33829,0.0171042
LOC_Os01g68790,LOC_Os01g68790,-0.654351,0.0142094
